toi,tid,tfopwg_disp,ra,dec,pl_rade,pl_orbper,pl_trandurh,pl_trandep,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate,in_habitable_zone,is_planet,planet_size_category_Earth-sized,planet_size_category_Jupiter-sized,planet_size_category_Neptune-sized,planet_size_category_Super-Earth,star_temp_category_G-dwarf,star_temp_category_Hot-star,star_temp_category_K-dwarf,star_temp_category_M-dwarf
2504.01,206906112,PC,97.214862,11.53189,15.2559264,13.5853506,4.703902,3149.5795009,629.3590997,1277.4513763,10.6358,508.561,8389.0,4.29787,1.69485,2021-02-19 00:37:59,2024-11-15 16:02:02,0,1,False,True,False,False,False,True,False,False
2505.01,443127052,PC,95.486535,-11.541394,4.096,2.8972041,1.958,640.0,470.021,1297.0,10.7015,282.783,5879.0,4.09,1.55,2021-03-02 22:28:40,2021-10-29 12:59:15,0,1,False,False,True,False,True,False,False,False
2506.01,393298446,APC,92.010974,-39.010809,3.04784,14.9695925,5.832,430.0,219.916,1183.01373235,9.9257,236.243,6456.0,4.33,1.46,2021-03-02 22:28:40,2021-10-29 12:59:15,0,0,False,False,False,True,True,False,False,False
2507.01,354519019,PC,82.559826,-43.798459,2.7663379,17.3051476,3.4976316,657.1128437,49.5593572,676.7077743,9.4951,103.454,5824.0,4.53,0.923281,2021-03-02 22:28:40,2021-10-29 12:59:15,0,1,False,False,False,True,True,False,False,False
2508.01,147430118,PC,104.817965,-14.444511,3.11352,1.6951056,3.238,370.0,6387.13,1183.01373235,10.3559,306.597,6796.0,4.33,1.61,2021-03-02 22:28:40,2024-08-22 10:08:01,0,1,False,False,False,True,False,True,False,False
2509.01,143282930,APC,94.409738,-9.631072,4.28924,1.5339665,2.128,470.0,3012.65,2063.0,10.7088,446.952,6694.0,4.02,1.92,2021-03-02 22:28:40,2021-10-29 12:59:15,0,0,False,False,True,False,False,True,False,False
251.01,224225541,CP,353.062066,-37.255863,2.8269897,4.9377227,2.1294254,844.8199092,277.7461661,1041.1942661,9.3258,99.523,5862.0,4.51783,0.955756,2018-11-29 21:52:42,2024-09-09 10:08:01,0,1,False,False,False,True,True,False,False,False
2510.01,170103435,FP,101.397361,-46.565471,2.69714,1.9785151,1.282,500.0,514.024,1326.0,10.0879,204.166,6317.0,4.35,1.23,2021-03-02 22:28:41,2023-03-08 16:02:02,0,0,False,False,False,True,True,False,False,False
2511.01,124702477,FP,104.752514,-7.897455,9.70612,0.7951534,0.912,1920.0,2195.21,1906.0,10.9539,523.867,6811.0,4.02,1.96,2021-03-02 22:28:41,2021-10-29 12:59:15,0,0,False,True,False,False,False,True,False,False
2512.01,124491883,PC,93.509715,-20.997714,2.03235,2.3933087,5.507,150.0,6511.62,2502.0,9.22605,199.337,6393.0,4.08,1.72,2021-03-02 22:28:41,2021-10-29 12:59:15,0,1,False,False,False,True,True,False,False,False
2513.01,59842822,PC,94.027709,-21.279477,3.9587,2.5577037,2.577,530.0,1478.98,1727.0,10.0509,258.693,6039.0,4.03,1.7,2021-03-02 22:28:41,2021-10-29 12:59:15,0,1,False,False,False,True,True,False,False,False
2514.01,317134140,PC,86.719534,-17.029089,2.10043,6.3951381,4.047,510.0,323.891,1181.0,10.667,173.764,5563.0,4.45,0.98,2021-03-02 22:28:41,2021-12-19 12:02:11,0,1,False,False,False,True,True,False,False,False
